,Acronym,Snomed_CT,Diagnostic_Snomed_CT,Details,Superclass_ID,Superclass,Motivo,Fonte,CPSC,Chapman-Shaoxing-Ningbo,CPSC-Extra,PTB,PTBxl,G12EC
,NST_,55930002,EKG ST segment changes,Electrocardiographic ST segment changes (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,1,1
,OldMI,164867002,EKG: old myocardial infarction,Electrocardiographic old myocardial infarction (finding),MI,Myocardial Infarction,"O código SNOMED indica infarto/necrose miocárdica aguda, antiga ou regional; a agregação em MI segue a organização diagnóstica usada em ECG e em bases como PTB-XL.","AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,0,1
,PAC,284470004,Premature atrial contraction,Premature atrial contraction (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,1,1,1,0,1,1
,PACE,10370003,Rhythm from artificial pacing,Rhythm from artificial pacing (finding),PACE,Paced Rhythm/Device Pattern,O código SNOMED indica ritmo ou padrão de estimulação artificial no ECG; esses achados devem ser agregados separadamente de arritmias espontâneas porque refletem ativação por dispositivo.,AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/,0,0,1,0,1,1
,PAF,282825002,Paroxysmal atrial fibrillation,Paroxysmal atrial fibrillation (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,1,0,1
,PRC(S),164884008,ECG: ventricular ectopics,Electrocardiogram: ventricular ectopics (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,1,0,0,0,1,1
,PSVT,67198005,Paroxysmal supraventricular tachycardia,Paroxysmal supraventricular tachycardia (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,0,1,1
,PVC,427172004,ECG: premature ventricular contractions,Electrocardiogram: premature ventricular contractions (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,0,0,1
,PVT,425856008,ECG: paroxysmal ventricular tachycardia,Electrocardiogram: paroxysmal ventricular tachycardia (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,0,0,1
,PWC,164912004,EKG: P wave abnormal,Electrocardiographic P wave abnormal (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,0,0,0,0
,QWAVE,164917005,EKG: Q wave abnormal,Electrocardiographic Q wave abnormal (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,1,0,1,1
,RAAb,253339007,Right atrial abnormality,Right atrial abnormality (disorder),HYP,Hypertrophy/Enlargement,"O código SNOMED descreve hipertrofia, aumento ou anormalidade de câmaras cardíacas; alterações de câmaras são uma categoria diagnóstica reconhecida no ECG e mapeável para HYP.","AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,0,0,1
,RAb,164921003,EKG: R wave abnormal,Electrocardiographic R wave abnormal (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,0,1,0,0,1
,RAF,314208002,Rapid atrial fibrillation,Rapid atrial fibrillation (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,1,0,1
,RAO/RAE,446358003,Right atrial hypertrophy,Right atrial hypertrophy (disorder),HYP,Hypertrophy/Enlargement,"O código SNOMED descreve hipertrofia, aumento ou anormalidade de câmaras cardíacas; alterações de câmaras são uma categoria diagnóstica reconhecida no ECG e mapeável para HYP.","AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,1,1
,RBBB,59118001,Right bundle branch block,Right bundle branch block (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",1,1,1,0,0,1
,RHV,89792004,Right ventricular hypertrophy,Right ventricular hypertrophy (disorder),HYP,Hypertrophy/Enlargement,"O código SNOMED descreve hipertrofia, aumento ou anormalidade de câmaras cardíacas; alterações de câmaras são uma categoria diagnóstica reconhecida no ECG e mapeável para HYP.","AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,1,1
,SARRH,427393009,ECG: sinus arrhythmia,Electrocardiogram: sinus arrhythmia (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,1,0,1,1
,SBRAD,426177001,ECG: sinus bradycardia,Electrocardiogram: sinus bradycardia (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,1,0,1,1
,SND,60423000,Sinus node dysfunction,Sinus node dysfunction (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,0,0,1
,SPRI,49578007,Shortened PR interval,Shortened PR interval (finding),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,0,1
,SQT,77867006,Shortened QT interval,Shortened QT interval (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,0,1
,STACH,427084000,ECG: sinus tachycardia,Electrocardiogram: sinus tachycardia (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,1,0,1,1
,STD_,429622005,ST Depression,ST Depression (observable entity),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",1,1,1,0,1,1
,STE,164930006,ECG: ST interval abnormal,Electrocardiographic ST interval abnormal (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,0,1
,STE_,164931005,ST elevation,ST elevation (observable entity),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",1,1,1,0,1,1
,SVARR,63593006,Supraventricular premature beats,Supraventricular premature beats (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,0,1,1
,SVB,251168009,Supraventricular bigeminy,Supraventricular bigeminy (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,0,0,1
,SVTAC,426761007,EKG: supraventricular tachycardia,Electrocardiographic supraventricular tachycardia (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,1,0,1,1
,TIA,266257000,Transient cerebral ischemia,Transient ischemic attack (disorder),OTHER_NONCARDIAC,Non-cardiac/Out-of-scope Clinical Diagnosis,"O código SNOMED descreve condição clínica não cardíaca ou fora do escopo diagnóstico direto do ECG; para modelos de ECG, deve ser separada de classes eletrocardiográficas.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/,0,0,0,0,0,1
,TRIGU,251180001,Ventricular trigeminy,Ventricular trigeminy (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,1,0,1,1
,UW,164937009,EKG: U wave abnormal,Electrocardiographic U wave abnormal (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,0,1
,VEB,75532003,Ventricular escape beat,Ventricular escape beat (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,1,0,0,1
,VEsR,81898007,Ventricular escape rhythm,Ventricular escape rhythm (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,0,0,1
,VF,164896001,EKG: ventricular fibrillation,Electrocardiographic ventricular fibrillation (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,1,0,1
,VFL,111288001,Ventricular flutter,Ventricular flutter (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,0,0,1
,VFW,13640000,Fusion beats,Fusion beats (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,0,0,0,1
,VPB,17338001,Ventricular premature beats,Ventricular premature beats (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,1,0,0,1
,VPE,195060002,Ventricular pre-excitation,Ventricular pre-excitation (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,0,1
,VPP,251266004,Ventricular pacing pattern,Ventricular pacing pattern (finding),PACE,Paced Rhythm/Device Pattern,O código SNOMED indica ritmo ou padrão de estimulação artificial no ECG; esses achados devem ser agregados separadamente de arritmias espontâneas porque refletem ativação por dispositivo.,AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/,0,0,0,0,0,1
